               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095852,            0.023701,            0.042501,            0.046669,             0.23447,             0.04102,            0.010908,             0.07914,            0.016554,            0.026298,              0.0028,              0.0028,              0.0748
                   1,            0.068491,            0.025492,            0.024964,             0.62267,             0.16304,             0.11458,            0.031501,            0.070613,            0.015696,            0.014444,           0.0056436,           0.0056436,            0.048644
                   2,            0.063285,            0.022702,            0.020131,             0.21305,             0.23447,             0.14227,            0.050185,            0.060004,            0.012777,            0.015863,           0.0084297,           0.0084297,             0.02243
                   3,              0.0635,            0.022399,            0.016881,             0.67946,             0.15214,             0.13612,            0.054505,            0.061059,            0.012678,           0.0099269,            0.009703,            0.009703,            0.009703
                   4,            0.054997,            0.023044,            0.015672,             0.68542,             0.17391,             0.13892,            0.056374,             0.05981,            0.012602,            0.010202,            0.009703,            0.009703,            0.009703
                   5,            0.053332,            0.021753,            0.014146,             0.67626,             0.18349,              0.1456,            0.064274,            0.066644,            0.013075,           0.0052257,            0.009604,            0.009604,            0.009604
                   6,             0.04863,            0.022534,            0.012026,             0.27968,             0.70391,             0.32732,             0.14536,             0.05853,            0.012638,           0.0057111,            0.009505,            0.009505,            0.009505
                   7,            0.046272,            0.020997,            0.010037,             0.73924,             0.28787,             0.32024,             0.17449,            0.048085,            0.011878,           0.0042647,            0.009406,            0.009406,            0.009406
                   8,             0.04552,            0.020891,            0.010032,             0.29293,             0.56712,               0.245,             0.12931,            0.052256,            0.012277,            0.016499,            0.009307,            0.009307,            0.009307
                   9,             0.04455,            0.020507,           0.0087592,             0.55414,             0.59627,             0.59253,             0.35654,            0.044509,            0.011872,           0.0027105,            0.009208,            0.009208,            0.009208
                  10,            0.040911,            0.020465,           0.0082459,             0.60727,              0.3618,             0.32541,             0.19091,            0.041095,            0.012466,            0.012653,            0.009109,            0.009109,            0.009109
                  11,            0.043354,            0.020573,           0.0071472,             0.61756,             0.73913,             0.63694,             0.36654,            0.042246,            0.012503,           0.0040859,             0.00901,             0.00901,             0.00901
                  12,            0.038981,            0.020489,           0.0066077,             0.58377,             0.61801,             0.58312,             0.38279,            0.042346,            0.011774,           0.0020918,            0.008911,            0.008911,            0.008911
                  13,            0.041146,            0.020533,           0.0054602,             0.62811,               0.531,              0.5375,             0.33528,             0.03615,            0.012543,           0.0030222,            0.008812,            0.008812,            0.008812
                  14,            0.039225,            0.020633,           0.0075536,              0.4648,             0.52484,             0.43849,             0.25061,             0.03597,            0.013198,           0.0042356,            0.008713,            0.008713,            0.008713
                  15,            0.037812,            0.020342,           0.0064011,             0.46845,             0.50776,             0.46226,             0.29655,            0.035102,            0.012823,           0.0037048,            0.008614,            0.008614,            0.008614
                  16,            0.037811,             0.01962,            0.004832,             0.37834,             0.68944,             0.42668,             0.28043,            0.035794,            0.013115,           0.0079166,            0.008515,            0.008515,            0.008515
                  17,            0.041061,            0.021308,           0.0059063,             0.48527,             0.44255,              0.4043,             0.22991,            0.043133,            0.013076,            0.002759,            0.008416,            0.008416,            0.008416
                  18,            0.037098,            0.019698,           0.0054359,             0.35245,             0.64596,             0.38163,             0.23476,            0.038231,             0.01307,           0.0092872,            0.008317,            0.008317,            0.008317
                  19,            0.037887,            0.019869,           0.0053533,             0.51821,             0.30124,             0.38197,             0.24369,            0.037087,            0.013725,            0.012096,            0.008218,            0.008218,            0.008218
                  20,            0.038505,            0.018911,           0.0053915,             0.86313,             0.31029,             0.46984,             0.30599,            0.035843,            0.013167,           0.0025597,            0.008119,            0.008119,            0.008119
                  21,            0.034652,            0.019863,           0.0066283,             0.47456,             0.56366,             0.51728,             0.35091,            0.037003,            0.012953,           0.0029293,             0.00802,             0.00802,             0.00802
                  22,            0.035908,            0.019148,           0.0051578,             0.71598,             0.52984,              0.6253,             0.44209,            0.040631,            0.012509,           0.0019388,            0.007921,            0.007921,            0.007921
                  23,            0.034614,            0.019527,           0.0053425,             0.54279,             0.67857,             0.57977,             0.41071,            0.035287,            0.012719,            0.002422,            0.007822,            0.007822,            0.007822
                  24,            0.033605,            0.019117,           0.0047795,             0.52984,             0.59006,              0.5431,             0.37866,            0.035997,            0.011948,           0.0019167,            0.007723,            0.007723,            0.007723
                  25,             0.03286,            0.019053,           0.0039195,             0.55395,             0.65139,             0.58823,             0.37509,            0.034275,             0.01208,           0.0013367,            0.007624,            0.007624,            0.007624
                  26,             0.03221,            0.019248,           0.0033658,              0.5214,             0.59678,             0.53105,             0.35775,            0.034398,            0.011925,           0.0012898,            0.007525,            0.007525,            0.007525
                  27,            0.033016,            0.017432,           0.0034808,             0.42514,             0.73292,             0.60259,             0.39546,            0.036366,            0.011622,           0.0021363,            0.007426,            0.007426,            0.007426
                  28,            0.031589,            0.017878,           0.0039401,              0.5681,             0.45959,             0.58377,             0.36315,            0.039162,            0.012286,           0.0038512,            0.007327,            0.007327,            0.007327
                  29,            0.030978,            0.017941,           0.0046137,             0.92585,             0.37259,             0.58822,             0.37979,            0.036577,            0.012134,            0.001877,            0.007228,            0.007228,            0.007228
                  30,             0.03328,            0.018521,            0.002624,             0.58646,             0.49208,             0.53639,             0.38947,            0.033675,            0.011685,            0.001724,            0.007129,            0.007129,            0.007129
                  31,            0.033862,            0.017386,           0.0038026,             0.53272,             0.56366,             0.55722,             0.41793,              0.0348,            0.012401,           0.0018761,             0.00703,             0.00703,             0.00703
                  32,             0.03162,            0.017261,           0.0033118,             0.62569,             0.51398,              0.4814,             0.31963,            0.043424,            0.013527,            0.001658,            0.006931,            0.006931,            0.006931
                  33,            0.031856,            0.018238,           0.0037396,             0.83316,             0.42081,             0.56412,             0.41023,            0.037809,            0.012584,           0.0018696,            0.006832,            0.006832,            0.006832
                  34,            0.031415,            0.018083,           0.0037633,             0.39492,             0.62849,             0.52451,              0.3562,             0.03542,            0.012424,            0.003106,            0.006733,            0.006733,            0.006733
                  35,            0.030716,            0.017252,           0.0041601,             0.44389,             0.81522,             0.60894,             0.41024,            0.030889,            0.012203,            0.001557,            0.006634,            0.006634,            0.006634
                  36,             0.02984,            0.016058,           0.0030516,             0.58271,             0.56832,             0.48691,             0.33193,             0.03593,            0.012278,           0.0013642,            0.006535,            0.006535,            0.006535
                  37,            0.030212,            0.017442,           0.0029605,             0.62894,             0.56366,             0.49767,             0.35065,            0.037718,            0.012531,           0.0015528,            0.006436,            0.006436,            0.006436
                  38,             0.02936,            0.015708,           0.0041142,             0.45478,             0.63968,             0.50658,             0.33071,             0.03432,            0.011775,           0.0014493,            0.006337,            0.006337,            0.006337
                  39,            0.030271,            0.016762,           0.0034152,               0.662,             0.53645,              0.6104,              0.4357,            0.032384,            0.012029,          0.00082934,            0.006238,            0.006238,            0.006238
